iter	Passed	Remaining
0	1	139
1	2	127
2	3	122
3	4	113
4	5	111
5	6	109
6	8	107
7	9	106
8	10	105
9	11	103
10	12	102
11	13	101
12	14	99
13	16	98
14	17	97
15	18	96
16	19	95
17	20	94
18	21	92
19	22	91
20	24	90
21	25	89
22	26	87
23	27	86
24	29	88
25	30	86
26	31	85
27	32	84
28	33	82
29	35	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	43	73
37	44	72
38	45	71
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	61
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	105	14
88	106	13
89	107	11
90	108	10
91	110	9
92	111	8
93	112	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	119	0
